S1,S2,S3,resp,resptime
stimuli/einstein_5.jpg,stimuli/einstein_80.jpg,stimuli/einstein_100.jpg,0,1.589236
stimuli/einstein_60.jpg,stimuli/einstein_40.jpg,stimuli/einstein_10.jpg,1,1.129853
stimuli/einstein_10.jpg,stimuli/einstein_20.jpg,stimuli/einstein_40.jpg,0,0.898155
stimuli/einstein_60.jpg,stimuli/einstein_40.jpg,stimuli/einstein_5.jpg,1,2.113242
stimuli/einstein_40.jpg,stimuli/einstein_10.jpg,stimuli/einstein_5.jpg,0,4.22132
stimuli/einstein_5.jpg,stimuli/einstein_40.jpg,stimuli/einstein_100.jpg,0,2.34685
stimuli/einstein_0.jpg,stimuli/einstein_10.jpg,stimuli/einstein_40.jpg,0,0.913238
stimuli/einstein_40.jpg,stimuli/einstein_60.jpg,stimuli/einstein_80.jpg,1,3.020761
stimuli/einstein_60.jpg,stimuli/einstein_5.jpg,stimuli/einstein_0.jpg,0,1.308064
stimuli/einstein_5.jpg,stimuli/einstein_40.jpg,stimuli/einstein_80.jpg,0,2.426191
stimuli/einstein_10.jpg,stimuli/einstein_40.jpg,stimuli/einstein_100.jpg,0,1.494252
stimuli/einstein_0.jpg,stimuli/einstein_60.jpg,stimuli/einstein_80.jpg,0,1.707957
stimuli/einstein_100.jpg,stimuli/einstein_20.jpg,stimuli/einstein_5.jpg,1,1.721242
stimuli/einstein_20.jpg,stimuli/einstein_40.jpg,stimuli/einstein_80.jpg,0,3.617293
stimuli/einstein_5.jpg,stimuli/einstein_20.jpg,stimuli/einstein_40.jpg,0,1.432337
stimuli/einstein_0.jpg,stimuli/einstein_5.jpg,stimuli/einstein_40.jpg,1,6.335324
stimuli/einstein_0.jpg,stimuli/einstein_20.jpg,stimuli/einstein_40.jpg,0,1.849127
stimuli/einstein_0.jpg,stimuli/einstein_5.jpg,stimuli/einstein_100.jpg,1,2.300811
stimuli/einstein_5.jpg,stimuli/einstein_60.jpg,stimuli/einstein_100.jpg,0,1.264664
stimuli/einstein_0.jpg,stimuli/einstein_20.jpg,stimuli/einstein_80.jpg,0,1.33486
stimuli/einstein_20.jpg,stimuli/einstein_5.jpg,stimuli/einstein_0.jpg,0,1.433299
stimuli/einstein_0.jpg,stimuli/einstein_20.jpg,stimuli/einstein_60.jpg,1,1.882614
stimuli/einstein_5.jpg,stimuli/einstein_10.jpg,stimuli/einstein_60.jpg,1,6.283595
stimuli/einstein_80.jpg,stimuli/einstein_20.jpg,stimuli/einstein_10.jpg,0,1.5503
stimuli/einstein_100.jpg,stimuli/einstein_80.jpg,stimuli/einstein_20.jpg,0,1.070327
stimuli/einstein_80.jpg,stimuli/einstein_60.jpg,stimuli/einstein_20.jpg,0,1.462452
stimuli/einstein_100.jpg,stimuli/einstein_20.jpg,stimuli/einstein_0.jpg,1,2.610664
stimuli/einstein_20.jpg,stimuli/einstein_40.jpg,stimuli/einstein_60.jpg,0,2.7752
stimuli/einstein_0.jpg,stimuli/einstein_40.jpg,stimuli/einstein_60.jpg,0,1.18722
stimuli/einstein_40.jpg,stimuli/einstein_60.jpg,stimuli/einstein_100.jpg,0,3.20037
stimuli/einstein_80.jpg,stimuli/einstein_10.jpg,stimuli/einstein_0.jpg,1,1.564479
stimuli/einstein_0.jpg,stimuli/einstein_10.jpg,stimuli/einstein_60.jpg,0,1.041889
stimuli/einstein_20.jpg,stimuli/einstein_60.jpg,stimuli/einstein_100.jpg,0,1.618821
stimuli/einstein_5.jpg,stimuli/einstein_10.jpg,stimuli/einstein_80.jpg,1,2.68848
stimuli/einstein_60.jpg,stimuli/einstein_20.jpg,stimuli/einstein_10.jpg,0,1.424451
stimuli/einstein_80.jpg,stimuli/einstein_60.jpg,stimuli/einstein_10.jpg,0,1.046816
stimuli/einstein_60.jpg,stimuli/einstein_80.jpg,stimuli/einstein_100.jpg,1,1.877826
stimuli/einstein_60.jpg,stimuli/einstein_20.jpg,stimuli/einstein_5.jpg,0,1.396179
stimuli/einstein_0.jpg,stimuli/einstein_60.jpg,stimuli/einstein_100.jpg,0,1.968176
stimuli/einstein_80.jpg,stimuli/einstein_40.jpg,stimuli/einstein_10.jpg,1,2.033815
stimuli/einstein_100.jpg,stimuli/einstein_80.jpg,stimuli/einstein_0.jpg,1,1.793152
stimuli/einstein_100.jpg,stimuli/einstein_80.jpg,stimuli/einstein_10.jpg,1,1.386698
stimuli/einstein_0.jpg,stimuli/einstein_40.jpg,stimuli/einstein_80.jpg,0,1.995026
stimuli/einstein_10.jpg,stimuli/einstein_60.jpg,stimuli/einstein_100.jpg,0,0.754031
stimuli/einstein_0.jpg,stimuli/einstein_40.jpg,stimuli/einstein_100.jpg,0,0.481601
stimuli/einstein_0.jpg,stimuli/einstein_10.jpg,stimuli/einstein_100.jpg,0,0.361117
stimuli/einstein_40.jpg,stimuli/einstein_80.jpg,stimuli/einstein_100.jpg,1,2.041936
stimuli/einstein_5.jpg,stimuli/einstein_20.jpg,stimuli/einstein_80.jpg,0,0.611971
stimuli/einstein_0.jpg,stimuli/einstein_10.jpg,stimuli/einstein_20.jpg,1,1.437157
stimuli/einstein_100.jpg,stimuli/einstein_40.jpg,stimuli/einstein_20.jpg,0,1.387649
stimuli/einstein_80.jpg,stimuli/einstein_60.jpg,stimuli/einstein_5.jpg,1,3.639547
stimuli/einstein_100.jpg,stimuli/einstein_20.jpg,stimuli/einstein_10.jpg,1,0.527945
stimuli/einstein_80.jpg,stimuli/einstein_5.jpg,stimuli/einstein_0.jpg,1,1.48273
stimuli/einstein_10.jpg,stimuli/einstein_5.jpg,stimuli/einstein_0.jpg,1,1.113816
stimuli/einstein_5.jpg,stimuli/einstein_10.jpg,stimuli/einstein_100.jpg,1,2.641802
stimuli/einstein_5.jpg,stimuli/einstein_10.jpg,stimuli/einstein_20.jpg,1,0.695507
