S1,S2,S3,resp,resptime
stimuli/einstein_80.jpg,stimuli/einstein_10.jpg,stimuli/einstein_5.jpg,1,3.376777
stimuli/einstein_0.jpg,stimuli/einstein_5.jpg,stimuli/einstein_10.jpg,1,1.578707
stimuli/einstein_80.jpg,stimuli/einstein_40.jpg,stimuli/einstein_20.jpg,0,2.666015
stimuli/einstein_60.jpg,stimuli/einstein_40.jpg,stimuli/einstein_20.jpg,1,2.314108
stimuli/einstein_100.jpg,stimuli/einstein_10.jpg,stimuli/einstein_0.jpg,1,1.553892
stimuli/einstein_20.jpg,stimuli/einstein_40.jpg,stimuli/einstein_100.jpg,0,1.994006
stimuli/einstein_100.jpg,stimuli/einstein_5.jpg,stimuli/einstein_0.jpg,0,1.906183
stimuli/einstein_5.jpg,stimuli/einstein_20.jpg,stimuli/einstein_60.jpg,0,1.480103
stimuli/einstein_100.jpg,stimuli/einstein_60.jpg,stimuli/einstein_0.jpg,1,1.497976
stimuli/einstein_0.jpg,stimuli/einstein_5.jpg,stimuli/einstein_40.jpg,1,1.57861
stimuli/einstein_20.jpg,stimuli/einstein_10.jpg,stimuli/einstein_5.jpg,1,2.64263
stimuli/einstein_0.jpg,stimuli/einstein_20.jpg,stimuli/einstein_100.jpg,0,1.639197
stimuli/einstein_80.jpg,stimuli/einstein_60.jpg,stimuli/einstein_10.jpg,1,1.530135
stimuli/einstein_0.jpg,stimuli/einstein_80.jpg,stimuli/einstein_100.jpg,0,1.310311
stimuli/einstein_100.jpg,stimuli/einstein_60.jpg,stimuli/einstein_40.jpg,1,1.358375
stimuli/einstein_60.jpg,stimuli/einstein_40.jpg,stimuli/einstein_0.jpg,1,1.042268
stimuli/einstein_100.jpg,stimuli/einstein_80.jpg,stimuli/einstein_20.jpg,0,2.048948
stimuli/einstein_5.jpg,stimuli/einstein_10.jpg,stimuli/einstein_100.jpg,0,1.242051
stimuli/einstein_0.jpg,stimuli/einstein_5.jpg,stimuli/einstein_60.jpg,1,1.640884
stimuli/einstein_80.jpg,stimuli/einstein_40.jpg,stimuli/einstein_0.jpg,1,1.35216
stimuli/einstein_100.jpg,stimuli/einstein_20.jpg,stimuli/einstein_5.jpg,1,1.471263
stimuli/einstein_80.jpg,stimuli/einstein_40.jpg,stimuli/einstein_5.jpg,1,0.751538
stimuli/einstein_0.jpg,stimuli/einstein_10.jpg,stimuli/einstein_60.jpg,0,1.864152
stimuli/einstein_100.jpg,stimuli/einstein_80.jpg,stimuli/einstein_10.jpg,1,1.510566
stimuli/einstein_5.jpg,stimuli/einstein_20.jpg,stimuli/einstein_40.jpg,0,2.112551
stimuli/einstein_0.jpg,stimuli/einstein_10.jpg,stimuli/einstein_40.jpg,0,1.758202
stimuli/einstein_40.jpg,stimuli/einstein_80.jpg,stimuli/einstein_100.jpg,1,1.356953
stimuli/einstein_20.jpg,stimuli/einstein_10.jpg,stimuli/einstein_0.jpg,1,1.457099
stimuli/einstein_20.jpg,stimuli/einstein_60.jpg,stimuli/einstein_80.jpg,0,1.495082
stimuli/einstein_80.jpg,stimuli/einstein_60.jpg,stimuli/einstein_40.jpg,0,2.073997
stimuli/einstein_60.jpg,stimuli/einstein_40.jpg,stimuli/einstein_10.jpg,1,1.306225
stimuli/einstein_100.jpg,stimuli/einstein_80.jpg,stimuli/einstein_60.jpg,0,1.477873
stimuli/einstein_20.jpg,stimuli/einstein_60.jpg,stimuli/einstein_100.jpg,1,1.546018
stimuli/einstein_5.jpg,stimuli/einstein_10.jpg,stimuli/einstein_60.jpg,0,1.602451
stimuli/einstein_0.jpg,stimuli/einstein_10.jpg,stimuli/einstein_80.jpg,0,2.0425
stimuli/einstein_100.jpg,stimuli/einstein_60.jpg,stimuli/einstein_10.jpg,1,1.830557
stimuli/einstein_5.jpg,stimuli/einstein_40.jpg,stimuli/einstein_100.jpg,0,1.757994
stimuli/einstein_100.jpg,stimuli/einstein_40.jpg,stimuli/einstein_0.jpg,1,1.473952
stimuli/einstein_20.jpg,stimuli/einstein_5.jpg,stimuli/einstein_0.jpg,0,1.497324
stimuli/einstein_80.jpg,stimuli/einstein_20.jpg,stimuli/einstein_0.jpg,1,1.410283
stimuli/einstein_5.jpg,stimuli/einstein_40.jpg,stimuli/einstein_60.jpg,0,1.554474
stimuli/einstein_10.jpg,stimuli/einstein_40.jpg,stimuli/einstein_80.jpg,0,1.428391
stimuli/einstein_10.jpg,stimuli/einstein_20.jpg,stimuli/einstein_100.jpg,0,1.49792
stimuli/einstein_40.jpg,stimuli/einstein_20.jpg,stimuli/einstein_10.jpg,1,1.41048
