S1,S2,S3,resp,resptime
stimuli/einstein_5.jpg,stimuli/einstein_20.jpg,stimuli/einstein_100.jpg,0,1.52765
stimuli/einstein_5.jpg,stimuli/einstein_40.jpg,stimuli/einstein_100.jpg,0,5.79373
stimuli/einstein_10.jpg,stimuli/einstein_40.jpg,stimuli/einstein_80.jpg,0,1.975184
stimuli/einstein_60.jpg,stimuli/einstein_20.jpg,stimuli/einstein_5.jpg,1,1.184137
stimuli/einstein_60.jpg,stimuli/einstein_40.jpg,stimuli/einstein_5.jpg,1,1.174746
stimuli/einstein_100.jpg,stimuli/einstein_60.jpg,stimuli/einstein_5.jpg,1,3.158315
stimuli/einstein_60.jpg,stimuli/einstein_40.jpg,stimuli/einstein_10.jpg,1,2.928686
stimuli/einstein_10.jpg,stimuli/einstein_20.jpg,stimuli/einstein_80.jpg,0,1.864127
stimuli/einstein_80.jpg,stimuli/einstein_20.jpg,stimuli/einstein_5.jpg,1,1.24223
stimuli/einstein_40.jpg,stimuli/einstein_10.jpg,stimuli/einstein_5.jpg,1,4.890272
stimuli/einstein_10.jpg,stimuli/einstein_80.jpg,stimuli/einstein_100.jpg,0,2.492562
stimuli/einstein_100.jpg,stimuli/einstein_40.jpg,stimuli/einstein_0.jpg,1,1.364072
stimuli/einstein_20.jpg,stimuli/einstein_60.jpg,stimuli/einstein_80.jpg,0,2.401632
stimuli/einstein_100.jpg,stimuli/einstein_40.jpg,stimuli/einstein_10.jpg,1,1.53475
stimuli/einstein_0.jpg,stimuli/einstein_5.jpg,stimuli/einstein_100.jpg,1,1.809466
stimuli/einstein_5.jpg,stimuli/einstein_40.jpg,stimuli/einstein_80.jpg,0,1.463441
stimuli/einstein_40.jpg,stimuli/einstein_20.jpg,stimuli/einstein_5.jpg,1,1.936527
stimuli/einstein_0.jpg,stimuli/einstein_20.jpg,stimuli/einstein_80.jpg,0,1.288439
stimuli/einstein_0.jpg,stimuli/einstein_10.jpg,stimuli/einstein_60.jpg,0,7.14344
stimuli/einstein_40.jpg,stimuli/einstein_10.jpg,stimuli/einstein_0.jpg,1,1.352891
stimuli/einstein_40.jpg,stimuli/einstein_5.jpg,stimuli/einstein_0.jpg,0,1.409012
stimuli/einstein_100.jpg,stimuli/einstein_20.jpg,stimuli/einstein_0.jpg,1,1.314874
stimuli/einstein_60.jpg,stimuli/einstein_5.jpg,stimuli/einstein_0.jpg,0,1.455124
stimuli/einstein_0.jpg,stimuli/einstein_80.jpg,stimuli/einstein_100.jpg,0,1.598466
stimuli/einstein_80.jpg,stimuli/einstein_10.jpg,stimuli/einstein_0.jpg,1,1.434048
stimuli/einstein_0.jpg,stimuli/einstein_20.jpg,stimuli/einstein_60.jpg,0,1.792271
stimuli/einstein_0.jpg,stimuli/einstein_20.jpg,stimuli/einstein_40.jpg,0,1.36866
stimuli/einstein_60.jpg,stimuli/einstein_20.jpg,stimuli/einstein_10.jpg,1,1.560353
stimuli/einstein_10.jpg,stimuli/einstein_20.jpg,stimuli/einstein_40.jpg,0,2.296731
stimuli/einstein_10.jpg,stimuli/einstein_60.jpg,stimuli/einstein_100.jpg,0,3.125638
stimuli/einstein_0.jpg,stimuli/einstein_40.jpg,stimuli/einstein_80.jpg,0,1.296107
stimuli/einstein_0.jpg,stimuli/einstein_40.jpg,stimuli/einstein_60.jpg,0,1.863733
stimuli/einstein_100.jpg,stimuli/einstein_40.jpg,stimuli/einstein_20.jpg,1,1.486451
stimuli/einstein_40.jpg,stimuli/einstein_80.jpg,stimuli/einstein_100.jpg,1,2.245967
stimuli/einstein_0.jpg,stimuli/einstein_10.jpg,stimuli/einstein_100.jpg,0,1.383134
stimuli/einstein_80.jpg,stimuli/einstein_60.jpg,stimuli/einstein_0.jpg,1,1.447956
stimuli/einstein_10.jpg,stimuli/einstein_5.jpg,stimuli/einstein_0.jpg,0,1.505006
stimuli/einstein_5.jpg,stimuli/einstein_10.jpg,stimuli/einstein_100.jpg,1,2.00716
stimuli/einstein_10.jpg,stimuli/einstein_20.jpg,stimuli/einstein_100.jpg,0,2.127221
stimuli/einstein_5.jpg,stimuli/einstein_10.jpg,stimuli/einstein_80.jpg,1,2.416348
stimuli/einstein_40.jpg,stimuli/einstein_60.jpg,stimuli/einstein_80.jpg,0,2.614616
stimuli/einstein_100.jpg,stimuli/einstein_60.jpg,stimuli/einstein_0.jpg,1,1.438569
stimuli/einstein_80.jpg,stimuli/einstein_5.jpg,stimuli/einstein_0.jpg,0,1.489372
stimuli/einstein_20.jpg,stimuli/einstein_10.jpg,stimuli/einstein_0.jpg,1,2.480715
stimuli/einstein_60.jpg,stimuli/einstein_40.jpg,stimuli/einstein_20.jpg,1,3.752244
stimuli/einstein_60.jpg,stimuli/einstein_10.jpg,stimuli/einstein_5.jpg,0,3.127987
stimuli/einstein_0.jpg,stimuli/einstein_5.jpg,stimuli/einstein_20.jpg,1,1.499159
stimuli/einstein_100.jpg,stimuli/einstein_60.jpg,stimuli/einstein_40.jpg,1,2.165835
stimuli/einstein_80.jpg,stimuli/einstein_60.jpg,stimuli/einstein_5.jpg,1,1.471823
stimuli/einstein_100.jpg,stimuli/einstein_80.jpg,stimuli/einstein_5.jpg,1,2.702287
stimuli/einstein_80.jpg,stimuli/einstein_40.jpg,stimuli/einstein_20.jpg,0,1.767263
stimuli/einstein_100.jpg,stimuli/einstein_80.jpg,stimuli/einstein_60.jpg,1,2.494062
stimuli/einstein_20.jpg,stimuli/einstein_10.jpg,stimuli/einstein_5.jpg,0,4.514631
stimuli/einstein_100.jpg,stimuli/einstein_60.jpg,stimuli/einstein_20.jpg,0,1.806444
stimuli/einstein_10.jpg,stimuli/einstein_60.jpg,stimuli/einstein_80.jpg,0,5.183876
stimuli/einstein_100.jpg,stimuli/einstein_80.jpg,stimuli/einstein_20.jpg,1,1.77415
